city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainers,curators,aggregate,rating,tz,featureId,sources
,,,AZE,165,3,,,,9961396,40.14320973750006,47.50227481750011,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Baku""]",10,
,,,BHS,10,0,,,,329988,23.91563150400006,-75.74170392899993,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""America/Nassau""]",11,
,,,BHR,466,4,,,,1410942,26.024400132000068,50.53386477950008,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Bahrain""]",12,
,,,BGD,48,5,,,,157826578,23.73811778050007,90.33232039450004,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Dhaka""]",13,
,,,BRB,24,0,,,,292336,13.189886786000045,-59.54055742099993,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""America/Barbados""]",14,
,,,BLR,94,0,,,,9549747,53.72384073950006,27.942588541500044,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Europe/Minsk""]",15,
,,,BEL,7284,289,,,,11491346,50.49042053300006,4.4297657472728815,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Europe/Brussels""]",16,
,,,BEN,6,0,,,,11038805,9.306569115000109,2.3030941155000306,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Africa/Porto-Novo""]",17,
,,,BTN,3,0,,,,758288,27.518180482737833,90.40745792650009,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Thimphu""]",18,
,,,BOL,61,0,,,,11138234,-16.286937560999938,-63.58694087799992,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""America/La_Paz""]",19,
,,,BIH,237,4,,,,3856181,43.91899993950011,17.668099406000096,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Europe/Sarajevo""]",20,
,,,BRA,3417,92,,,,207353391,-14.236725569657125,-54.38839290699988,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""America/Cuiaba""]",21,
,,,BRN,115,0,,,,443593,4.510995486500057,114.66157535500005,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Brunei""]",22,
,,,BGR,293,3,,,,7101510,42.73391529800004,25.47427473600007,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Europe/Sofia""]",23,
,,,BFA,180,9,,,,20107509,12.230804951500069,-1.5662045904998934,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Africa/Ouagadougou""]",24,
,,,CPV,5,1,,,,560899,16.066066799000083,-23.999460415499925,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Atlantic/Cape_Verde""]",25,
,,,KHM,99,0,,,,16204486,12.56212270450002,104.96757694500008,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Asia/Phnom_Penh""]",26,
,,,CMR,91,2,,,,24994885,7.407972718000032,12.350860429500074,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Africa/Douala""]",27,
,,,CAF,3,0,,,,5625118,6.61864105250006,20.91950301100013,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Africa/Bangui""]",28,
,,,TCD,3,0,,,,12075985,15.451357727500067,18.71679508450009,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""Africa/Ndjamena""]",29,
,,,CHL,1610,5,,,,17789267,-36.567062457499944,-71.3604937374999,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",country,0.47058823529411764,"[""America/Santiago""]",30,
,,Anhui,CHN,990,6,,,,63240000,32.02378204990168,117.2581712176775,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",31,
,,Beijing,CHN,569,8,,,,21540000,40.236575323991985,116.42780846573805,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",32,
,,Chongqing,CHN,578,6,,,,31020000,30.198712571927643,107.73296451180275,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",33,
,,Fujian,CHN,331,1,,,,39410000,25.971159641604146,118.13227705193037,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",34,
,,Gansu,CHN,136,2,,,,26370000,37.69770367228662,100.73804263765757,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",35,
,,Guangdong,CHN,1456,8,,,,113460000,22.876783758944043,113.41792352680932,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",36,
,,Guangxi,CHN,254,2,,,,49260000,23.899949245349177,108.27096784823755,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",37,
,,Guizhou,CHN,146,2,,,,36000000,26.9387435980386,106.60127648352287,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",38,
,,Hainan,CHN,168,6,,,,9340000,19.150763250500063,109.81287682400003,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",39,
,,Hebei,CHN,319,6,,,,75560000,39.323827419599695,116.65206139450123,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",40,
,,Heilongjiang,CHN,484,13,,,,37730000,48.501949771374576,127.97325321185173,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",41,
,,Henan,CHN,1275,22,,,,96050000,33.87707977965809,113.48442223524788,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",42,
,,,HKG,519,4,,,,7191503,22.41313304250005,114.21021569100003,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Hong_Kong""]",43,
,,Hubei,CHN,67801,3174,,,,59170000,31.166405443456426,112.26392825753302,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",44,
,,Hunan,CHN,1018,4,,,,68990000,27.369414984613826,111.50909061104284,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",45,
,,Inner Mongolia,CHN,92,1,,,,25000034,45.35383134546877,111.62347220837569,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Ulaanbaatar""]",46,
,,Jiangsu,CHN,641,0,,,,80510000,32.934811713190015,119.14963721029278,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",47,
,,Jiangxi,CHN,936,1,,,,46480000,27.275131334293633,116.01917707751011,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",48,
,,Jilin,CHN,95,1,,,,27040000,43.56576924140737,126.47365482303488,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",49,
,,Liaoning,CHN,128,2,,,,43590000,41.09091390618639,122.31055016440854,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",50,
,,,MAC,33,0,,,,601969,22.13420237850005,113.55058841250002,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Macau""]",51,
,,Ningxia,CHN,75,0,,,,6880000,37.31081075681095,106.00808271719359,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",52,
,,Qinghai,CHN,18,0,,,,6030000,35.43499502195269,96.23774885477579,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",53,
,,Shaanxi,CHN,253,3,,,,38640000,35.63509908705319,108.36171166401203,https://github.com/CSSEGISandData/COVID-19,"[{""name"":""Larry Davis"",""email"":""lazdnet@gmail.com"",""twitter"":""lazdnet"",""github"":""lazd"",""country"":""USA"",""state"":""CA"",""county"":""San Francisco"",""city"":""San Francisco"",""flag"":""🇺🇸""}]","[{""name"":""JHU CSSE"",""url"":""https://systems.jhu.edu/research/public-health/ncov/""}]",state,0.5098039215686274,"[""Asia/Shanghai""]",54,
